ID,SMILES,act_mean,Type
CHEMBL496665,COc1ccc(N2NC(=O)/C(=C\c3ccccc3OC)C2=O)cc1,100000000,0
CHEMBL4286803,O=C(Nc1cncc(-c2cc(-c3cccnc3)cs2)c1)c1ccc(F)cc1,183.2,1
CHEMBL4085467,FC(F)(F)c1ccc(-c2cnc3ccc(Cl)nn23)cc1,7300,0
CHEMBL3915647,COC(=N)c1nc2ccc3ncnc(Nc4cc(Br)c5c(c4)OCO5)c3c2s1,2.76,1
CHEMBL3094463,COc1ncc2cc(C(=O)Nc3cc(C(=O)NC4(c5cccc(Cl)c5)CCNCC4)ccc3Cl)c(=O)[nH]c2n1,1229,0
CHEMBL38043,COc1ccc(/C=C2\NC(=O)NC2=O)cc1,6400,0
CHEMBL2234269,O=c1[nH]cnc2c(-c3ccccc3)n[nH]c12,100000000,0
CHEMBL4070189,CC[C@@H](CO)Nc1ccc2ncc(-c3cccc(S(C)(=O)=O)c3)n2n1,93,1
CHEMBL4069088,Nc1cc(-c2c[nH]c3cc(Cl)ccc23)ccn1,2939,0
CHEMBL4080994,O=C(Nc1ccc(O)cc1)c1cnc2[nH]cc(-c3ccc(O)cc3)c2c1,344,1
CHEMBL568150,O=C1NC(=O)/C(=C/c2ccc3nccnc3c2)S1,815,1
CHEMBL4064426,Cc1cc(-c2ccc3ncc4nnn([C@@H](C)c5ccc(Cl)cc5)c4c3c2)ccn1,1756,0
CHEMBL2314451,CC(C)n1cnc2c(Nc3cncnc3)nc(Cl)nc21,5300,0
CHEMBL469777,COc1ccc(/C=C2\C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)cc1,100000000,0
CHEMBL2386763,COC(=N)c1nc2ccc3ncnc(Nc4ccccc4)c3c2s1,1.81,1
CHEMBL4284240,COc1ccc2c(c1)CC(n1c(C)nc3ccc(-c4cc(N)nc(N)c4)nc31)C2,4,1
CHEMBL4087125,Oc1ccc(-c2c[nH]c3ncc(-c4ccc(-c5nnn[nH]5)cc4)cc23)cc1,86,1
CHEMBL3962894,NC(=O)c1cc(-c2cn3cc(O)ccc3n2)ccc1O,3000,0
CHEMBL1476499,Cc1occc1CNc1ncnc2ccc(-c3ccc4c(c3)OCO4)cc12,57,1
CHEMBL3883660,COc1ccc2c(c1)[nH]c1c3ccncc3cc(C#N)c21,25,1
CHEMBL3609655,CO[C@@H]1CCN2C(=O)c3cccc(NC(=O)Nc4cnccn4)c3[C@@H]2C1,100000000,0
CHEMBL4089159,COC(=O)C1=C(Nc2ccccc2Cl)O/C(=C\c2c[nH]c3ncccc23)C1=O,53,1
CHEMBL552418,COc1nc(NNC(C)=O)c(C#N)c(-c2ccccc2)c1C#N,100000000,0
